word1;word2;POS;conc(w1);avg(conc);conc(w2);Assoc(USF);SimAssoc333;cosine;condition
imitate;portray;V;2.66;2.42;2.18;0.89;1;0.461924409;fill
enjoy;entertain;V;2.29;2.42;2.55;0.79;1;0.447980737;fill
assignment;task;N;3.86;3.35;2.84;0.12;0;0.461333668;fill
take;carry;V;3.06;3.55;4.04;0.34;0;0.44973258;fill
crowd;bunch;N;4.52;4.01;3.5;0.3;0;0.311535091;fill
guy;stud;N;4.68;4.34;4;0.27;0;0.37318041;fill
meal;dinner;N;4.62;4.56;4.5;0.88;1;0.744443923;fill
lens;camera;N;4.64;4.82;5;0.9;1;0.604994214;fill
happy;angry;A;2.56;2.545;2.53;1.15;1;0.413403178;fill
goal;quest;N;3.06;2.965;2.87;0.4;0;0.383634179;fill
elastic;flexible;A;3.73;3.185;2.64;0.14;0;0.449168033;fill
disappear;shrink;V;2.86;3.205;3.55;0.14;0;0.477677782;fill
molecule;atom;N;3.27;3.305;3.34;0.92;1;0.610428399;fill
area;zone;N;3.72;3.395;3.07;0.97;1;0.418583729;fill
anatomy;biology;N;3.59;3.535;3.48;0.2;0;0.566930358;fill
noise;rattle;N;3.52;3.795;4.07;0.72;1;0.413014285;fill
man;child;N;4.79;4.785;4.78;0.3;0;0.343705517;fill
arm;vein;N;4.96;4.795;4.63;0.36;0;0.258973471;fill
alley;bowl;N;4.82;4.845;4.87;0.33;0;0.19383825;fill
metal;aluminum;N;4.87;4.875;4.88;1.1;1;0.612414809;fill
bone;teeth;N;4.9;4.93;4.96;0.14;0;0.424965281;high
neck;spine;N;5;4.94;4.88;0.13;0;0.494103575;high
bone;knee;N;4.9;4.95;5;0.24;0;0.405263702;high
tongue;throat;N;4.93;4.95;4.97;0.28;0;0.541627533;high
bone;neck;N;4.9;4.95;5;0.18;0;0.403418407;high
bird;hen;N;5;4.95;4.9;0.2;0;0.442436145;high
arm;neck;N;4.96;4.98;5;0.12;0;0.517045369;high
arm;knee;N;4.96;4.98;5;0.24;0;0.461272184;high
spoon;cup;N;4.96;4.98;5;0.19;0;0.455918312;high
bed;blanket;N;5;5;5;1.02;1;0.436005719;high
apple;lemon;N;5;5;5;0.13;0;0.428759131;high
apple;juice;N;5;4.945;4.89;0.7;1;0.456682467;high
bread;flour;N;4.92;4.945;4.97;1.42;1;0.532951008;high
water;salt;N;5;4.945;4.89;0.63;1;0.508690565;high
bird;turkey;N;5;4.945;4.89;0.67;1;0.477941319;high
water;ice;N;5;4.945;4.89;1.03;1;0.436903324;high
jar;bottle;N;5;4.955;4.91;0.33;0;0.560678907;high
bird;hawk;N;5;4.965;4.93;5.29;1;0.574147266;high
toe;finger;N;4.93;4.965;5;3.22;1;0.465823281;high
ball;glove;N;5;4.985;4.97;0.12;0;0.401471496;high
belief;opinion;N;1.19;1.56;1.93;0.41;0;0.432491483;low
unnecessary;necessary;A;1.56;1.68;1.8;0.41;0;0.483179547;low
know;comprehend;V;1.68;1.77;1.86;0.21;0;0.493851905;low
pretend;imagine;V;2.11;1.82;1.53;0.21;0;0.428915285;low
conclude;decide;V;1.78;1.85;1.92;0.2;0;0.432119716;low
explain;prove;V;1.97;1.9;1.83;0.14;0;0.42114049;low
pretend;seem;V;2.11;1.93;1.75;0.11;0;0.442975698;low
assume;pretend;V;1.75;1.93;2.11;0.14;0;0.521904562;low
necessary;important;A;1.8;1.97;2.14;0.34;0;0.515793516;low
forgive;forget;V;1.92;1.98;2.04;0.14;0;0.530772135;low
way;manner;N;2.34;1.98;1.62;2.56;1;0.527643937;low
reality;fantasy;N;1.72;1.655;1.59;0.83;1;0.472133201;low
certain;sure;A;1.68;1.705;1.73;0.23;0;0.41850649;low
bad;great;A;1.68;1.745;1.81;0.35;0;0.427751154;low
competence;ability;N;1.78;1.795;1.81;0.63;1;0.47058825;low
capability;competence;N;1.93;1.855;1.78;0.77;1;0.434021048;low
great;awful;A;1.81;1.865;1.92;0.15;0;0.43110491;low
assume;predict;V;1.75;1.875;2;0.17;0;0.423282752;low
wisdom;intelligence;N;1.53;1.885;2.24;0.14;0;0.40692069;low
difficult;simple;A;2.21;1.915;1.62;0.34;0;0.427087637;low
